,classified.subtype,classified.price,classified.land.surface,classified.bedroom.count,classified.atticExists,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool
264,villa,210000,1687,4,1,0,0
265,house,215000,234,2,0,1,0
266,apartment block,699000,160,7,0,0,0
268,apartment block,470000,103,5,0,1,0
269,house,250000,180,4,0,0,0
270,house,325000,138,3,0,1,0
272,villa,325000,1000,5,1,1,0
273,villa,999000,1860,4,0,0,0
274,castle,2480000,95000,10,1,1,0
276,apartment block,795000,162,8,0,1,0
279,house,259000,50,4,1,0,0
282,house,329950,139,3,0,0,0
285,apartment block,289000,144,5,0,1,0
286,apartment block,685000,0,4,0,0,0
288,house,685000,0,4,0,0,0
289,mansion,685000,0,4,0,0,0
290,house,72200,120,2,0,0,0
291,house,211000,288,3,0,1,0
292,house,125000,150,3,1,1,0
293,house,159000,0,4,0,0,0
296,castle,1115000,1743,4,0,1,0
297,house,400000,5683,4,0,0,0
298,house,270000,240,3,0,1,0
299,apartment block,1350000,76,4,0,1,0
300,house,1775000,305,8,0,1,0
301,villa,929000,830,4,0,0,1
302,villa,2200000,17000,10,0,0,1
303,apartment block,490000,0,4,0,1,0
305,castle,9500000,500000,12,0,1,1
306,villa,2490000,1800,5,1,1,1
307,house,365000,163,3,0,1,0
309,exceptional property,649000,14816,5,0,0,0
311,house,175000,202,4,1,1,0
312,castle,2890000,5300,12,0,1,1
314,apartment block,600000,340,11,0,1,0
316,house,715000,763,5,0,1,1
317,house,297300,783,3,0,0,0
318,farmhouse,590000,11131,4,1,1,0
320,house,295000,300,3,0,0,0
321,house,497400,610,3,0,0,0
323,exceptional property,325000,863,4,0,1,1
324,house,237500,0,3,0,1,0
325,house,2850000,3160,5,0,1,1
326,house,141385,0,2,0,0,0
328,villa,1790000,1123,7,1,1,1
329,mixed use building,245000,55,1,0,1,0
330,house,1350000,210,6,0,1,0
332,house,2430000,446,7,0,1,0
333,house,795000,276,3,0,1,0
334,apartment block,260000,43,4,0,0,0
335,villa,3495000,420,5,0,1,0
336,house,170000,24,2,0,0,0
337,house,209000,209,5,1,1,0
338,house,275000,328,3,1,1,0
339,house,245000,140,3,0,0,0
340,house,294500,350,4,0,0,0
341,house,299000,1300,5,0,0,0
342,house,185000,400,2,0,0,0
344,house,230000,315,4,0,1,0
345,apartment block,110000,0,1,0,0,0
347,mansion,925000,795,6,0,1,0
348,house,259900,175,3,0,1,0
349,house,267900,216,3,0,1,0
350,house,293900,302,3,0,1,0
351,house,349900,120,2,0,0,0
352,apartment block,799000,0,5,0,1,0
353,house,450000,8710,2,0,0,0
354,mixed use building,271500,0,2,0,0,0
355,mixed use building,235000,0,1,0,0,0
356,mixed use building,305000,0,2,0,0,0
357,mixed use building,313500,0,2,0,0,0
358,country cottage,1375000,997,5,0,1,0
359,mixed use building,324000,0,2,0,0,0
360,exceptional property,1550000,2400,6,1,0,0
362,house,795000,276,3,0,0,0
363,bungalow,280000,351,3,0,1,0
365,house,925000,795,6,0,1,0
366,apartment block,315000,140,6,0,0,0
368,house,150000,61,3,0,1,0
369,house,259900,389,3,1,1,0
370,house,264900,414,3,1,1,0
371,house,269900,560,3,1,1,0
372,villa,438000,1000,4,0,1,0
373,exceptional property,2600000,4970,6,0,1,1
374,apartment block,1350000,306,0,0,0,0
376,villa,1250000,10534,6,0,0,0
377,exceptional property,1980000,2107,5,0,1,0
378,villa,375000,1350,4,0,1,0
379,mixed use building,218000,135,2,0,0,0
380,house,1500000,1459,1,0,0,0
382,house,395000,371,4,0,1,0
383,house,425000,1592,4,0,1,0
385,house,329000,0,5,0,0,0
387,house,319000,120,3,0,0,0
389,mixed use building,625000,3860,4,1,1,0
392,house,110000,400,3,0,0,0
393,house,135000,740,3,0,0,0
395,house,4950000,0,5,0,0,1
399,house,110000,638,5,0,0,0
401,house,239000,560,5,0,1,0
405,exceptional property,2800000,1450,14,0,0,1
406,villa,220000,425,3,0,1,0
407,house,119000,0,0,0,0,0
408,house,265000,517,3,0,0,0
409,house,361260,406,3,0,0,0
410,house,360976,405,3,0,0,0
411,house,362989,405,3,0,0,0
412,house,364173,405,3,0,0,0
413,house,361599,405,3,0,0,0
414,house,361499,405,3,0,0,0
415,apartment block,1090000,218,4,0,0,0
416,house,315000,502,3,0,0,0
418,house,315000,500,3,0,0,0
420,villa,520000,1424,4,1,1,0
421,house,328210,303,3,0,1,0
422,house,331785,302,3,0,1,0
423,house,332410,218,3,0,1,0
425,villa,995000,11366,5,0,0,0
426,farmhouse,1495000,90000,3,0,1,0
427,house,180000,128,4,0,0,0
428,house,150000,480,3,0,0,0
429,mixed use building,1500000,71907,50,0,1,0
430,house,300000,157,3,1,0,0
431,apartment block,315000,0,3,0,1,0
433,house,99000,167,2,0,0,0
434,castle,1275000,15000,11,1,1,1
435,exceptional property,2985000,1270,6,1,1,0
436,house,310000,1000,5,0,1,0
438,house,595000,0,3,0,1,0
440,exceptional property,1400000,517,3,0,0,0
441,apartment block,1090000,218,4,0,0,0
442,exceptional property,1975000,550,5,1,1,0
443,apartment block,1375000,0,0,0,1,0
445,house,386466,555,3,0,0,0
446,house,379386,578,3,0,0,0
447,house,650000,0,8,0,1,0
448,exceptional property,690000,405,3,0,1,0
449,house,149000,64,2,0,0,0
450,chalet,145000,120,2,0,1,0
451,house,775000,89,2,0,0,0
452,mixed use building,2520000,193,0,0,1,0
453,house,130000,110,2,0,1,0
454,apartment block,375000,2360,6,1,1,0
455,house,215000,357,3,1,1,0
456,house,1295000,317,4,0,1,0
457,house,1295000,317,4,0,1,0
458,house,462800,221,2,0,0,0
459,house,289800,90,1,0,0,0
460,house,415000,582,3,0,1,0
461,house,489000,492,3,0,1,0
463,exceptional property,640000,1086,5,1,0,0
464,house,275000,283,3,1,1,0
466,apartment block,279000,0,7,0,1,0
467,house,460000,1120,4,0,0,0
469,bungalow,289000,763,2,0,0,0
470,apartment block,299000,0,3,0,0,0
472,apartment block,649000,805,7,0,0,0
473,house,276600,155,3,0,1,0
474,mixed use building,750000,0,12,0,1,0
475,farmhouse,3200000,44500,8,0,1,1
477,house,285000,1210,6,0,0,0
478,apartment block,285000,1210,6,0,0,0
480,house,475000,189,3,0,1,0
481,house,255000,140,3,0,1,0
482,castle,9500000,500000,7,1,0,1
486,house,360000,0,4,0,1,0
487,mansion,950000,2041,5,0,1,0
488,house,50000,620,3,0,1,0
490,house,179000,0,4,1,1,0
491,house,65000,184,2,1,0,0
492,house,215000,830,3,1,1,0
493,house,430000,751,3,1,0,0
495,house,895000,170,3,0,1,0
496,house,295000,0,5,0,1,0
498,mixed use building,196000,0,1,0,0,0
499,villa,675000,841,4,0,1,1
500,mixed use building,265000,0,0,0,1,0
501,house,349500,0,4,0,1,0
503,house,695000,1792,5,0,0,0
504,house,199000,291,4,0,0,0
507,house,159000,0,2,1,1,0
509,apartment block,360000,130,4,0,1,0
511,house,995000,145,5,0,1,0
513,house,325000,228,3,0,1,0
514,house,395000,228,4,0,0,0
515,villa,720000,631,4,1,1,0
516,house,345000,232,3,0,1,0
518,house,310000,178,3,0,1,0
519,house,340000,292,3,0,1,0
520,house,229000,570,3,1,1,0
