,classified.subtype,classified.price,classified.land.surface,classified.bedroom.count,classified.atticExists,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool
1022,house,149000,530,2,1,0,0
1024,house,100000,3000,4,0,1,0
1025,exceptional property,850000,76,5,1,1,0
1026,villa,495000,700,4,1,1,0
1027,house,465000,212,5,0,0,0
1028,house,275000,74,4,0,1,0
1029,bungalow,300000,1028,3,0,1,0
1030,exceptional property,995000,5200,10,1,0,0
1031,villa,1080000,1100,5,1,1,0
1032,apartment block,3200000,0,0,0,1,0
1035,house,175000,559,4,1,1,0
1037,bungalow,385000,719,2,0,1,1
1039,house,425000,312,2,0,0,0
1040,house,154000,100,3,1,0,0
1041,house,269900,94,2,0,1,0
1042,house,270000,605,4,0,0,0
1043,mixed use building,990000,215,7,0,0,0
1044,villa,1550000,4047,4,0,1,1
1045,mansion,549000,224,5,0,1,0
1046,house,392110,120,2,1,1,0
1047,house,398900,118,2,1,1,0
1048,house,200000,68,3,0,0,0
1049,apartment block,3200000,490,1,1,1,0
1050,house,495000,605,3,0,0,0
1051,villa,875000,2782,6,0,1,0
1052,house,475000,1459,3,0,0,1
1053,farmhouse,1150000,3680,7,0,0,0
1055,exceptional property,1850000,2500,6,1,1,1
1056,mixed use building,118000,205,3,0,1,0
1057,house,249500,165,4,0,1,0
1058,house,265000,220,1,0,0,0
1059,house,250000,312,7,0,0,0
1060,house,239000,0,3,0,0,0
1061,house,160000,244,3,0,1,0
1062,apartment block,160000,244,3,0,1,0
1065,house,335000,581,3,0,1,0
1066,house,335000,337,3,0,1,0
1068,house,179000,0,3,0,1,0
1069,exceptional property,1850000,2471,6,0,1,0
1071,house,745000,3299,4,0,0,0
1072,apartment block,795000,0,6,1,1,0
1074,country cottage,650000,7863,5,0,1,0
1075,mixed use building,200000,68,3,0,0,0
1076,villa,600000,2409,4,1,1,0
1077,villa,745000,2791,4,1,1,0
1078,house,269000,8,4,0,0,0
1079,apartment block,180000,128,4,0,0,0
1081,house,89000,0,0,0,0,0
1082,villa,1900000,671,11,0,1,0
1083,house,178500,0,4,1,1,0
1084,villa,431816,618,3,0,1,0
1085,villa,437692,843,3,0,1,0
1086,villa,461272,859,3,0,1,0
1087,house,475000,323,2,0,1,0
1088,house,485000,0,9,0,0,0
1089,villa,1590000,5498,7,0,0,1
1090,house,252000,0,2,0,0,0
1091,villa,453816,859,3,0,1,0
1092,villa,441141,859,3,0,1,0
1093,house,395000,872,4,0,1,0
1094,apartment block,219000,120,3,0,0,0
1107,house,765000,345,6,0,1,0
1108,house,550000,2900,3,0,1,0
1109,house,376700,447,3,0,1,0
1110,castle,1500000,7190,5,0,0,0
1111,house,2975000,29361,5,1,1,1
1112,house,299000,257,4,1,1,0
1113,house,275000,648,3,1,1,0
1114,villa,330000,1340,3,1,0,0
1115,apartment block,185000,60,3,0,0,0
1116,mixed use building,245000,100,3,0,1,0
1117,country cottage,380000,1000,3,1,1,0
1119,house,250000,230,5,1,1,0
1120,house,295000,1069,5,0,0,0
1121,house,695000,0,5,0,1,0
1122,apartment block,480000,139,4,1,0,0
1125,country cottage,249000,780,2,0,0,0
1126,house,550000,4400,3,0,1,0
1127,house,185000,428,2,0,1,0
1128,house,250000,1046,2,0,1,0
1130,mixed use building,245000,0,3,0,1,0
1131,apartment block,295000,0,4,0,0,0
1132,house,168000,230,2,0,1,0
1133,house,239000,200,3,0,1,0
1135,house,325000,948,0,0,0,0
1136,house,253000,180,5,0,1,0
1138,villa,550000,1774,4,0,1,0
1139,villa,750000,1650,6,0,0,0
1140,house,79000,129,2,1,0,0
1142,town house,299000,470,3,1,1,0
1143,house,799000,1756,3,0,1,0
1144,house,250000,0,0,0,0,0
1145,house,590000,1602,4,0,1,0
1147,house,324000,483,3,0,0,0
1149,house,860000,125,3,0,1,0
1150,house,400000,221,3,0,1,0
1151,house,120000,170,3,1,1,0
1153,house,239000,393,4,1,1,0
1154,house,299000,1508,4,0,1,0
1155,mansion,281436,204,3,0,0,0
1156,house,434000,328,3,0,0,0
1158,apartment block,527500,541,9,1,0,0
1159,house,105000,265,3,0,1,0
1160,house,200000,0,3,0,0,0
1161,house,467000,750,6,0,0,0
1163,apartment block,438000,750,3,0,1,0
1164,house,384000,136,3,1,1,0
1166,house,424000,215,3,1,1,0
1167,house,424000,127,3,1,1,0
1168,house,424000,322,3,1,1,0
1169,house,1065000,350,4,0,1,0
1170,house,248000,408,2,1,0,0
1171,house,399000,995,5,1,1,0
1172,house,263000,570,4,1,1,0
1174,house,150000,0,3,1,1,0
1175,house,275000,650,3,0,1,0
1177,house,170000,0,3,0,1,0
1179,house,749000,3501,5,0,0,0
1181,house,195000,550,2,1,1,0
1182,house,674500,2307,4,1,1,0
1183,house,249000,0,3,1,1,0
1185,apartment block,499000,0,4,1,1,0
1188,house,220000,3600,2,1,1,0
1189,bungalow,299000,0,3,0,1,0
1190,house,175000,217,4,0,0,0
1191,house,319000,281,7,0,0,0
1193,house,370000,543,3,0,1,0
1194,house,1190000,2146,5,0,1,1
1195,house,260000,201,4,0,0,0
1196,house,465000,500,2,0,0,0
1197,exceptional property,1850000,2471,6,0,1,1
1198,villa,694000,2095,3,0,1,0
1199,exceptional property,649000,2156,7,1,1,0
1200,house,209000,216,2,1,0,0
1201,villa,525000,2784,4,0,1,0
1202,house,255000,700,1,0,1,0
1203,house,410000,0,10,1,1,0
1205,house,428000,406,3,0,0,0
1207,villa,435000,652,4,1,0,0
1208,house,1200000,4055,4,0,1,0
1210,house,269000,1112,2,0,1,0
1211,house,249000,389,2,0,0,0
1212,house,310000,115,2,0,0,0
1213,house,279000,380,4,0,0,0
1214,house,1175000,239,6,0,1,0
1215,house,576000,60,3,0,1,0
1216,house,150000,170,3,1,0,0
1217,house,335000,321,2,1,0,0
1218,house,119500,0,2,0,1,0
1219,house,565000,2800,4,0,0,0
1220,apartment block,365000,0,6,0,0,0
1221,house,1050000,3350,4,0,1,0
1222,house,169000,257,3,0,1,0
1223,house,249500,500,3,1,1,0
1224,house,775000,20018,7,0,1,0
1226,house,389000,817,5,0,1,0
1227,house,1600000,0,5,0,1,0
1228,house,349000,139,2,0,0,0
1229,house,359000,435,2,0,0,0
1230,apartment block,420000,1195,5,0,0,0
1232,apartment block,485000,0,5,1,1,0
1233,house,179000,180,5,0,0,0
1235,house,395000,351,3,0,0,0
1236,exceptional property,340000,1600,5,0,1,0
1238,apartment block,289900,500,7,1,1,0
1239,house,225000,0,3,0,1,0
1240,villa,469000,977,3,0,1,0
1241,house,352000,1650,5,1,1,0
1242,exceptional property,1875000,1489,6,1,1,0
1243,house,349000,1140,5,0,1,0
1245,house,339000,198,3,0,0,0
1246,house,165000,350,3,0,1,0
1247,house,319000,281,6,1,1,0
1248,house,479000,2200,4,0,1,0
1249,house,359000,973,3,0,0,0
1250,house,369000,140,4,0,0,0
1252,farmhouse,645000,54950,3,0,1,0
1254,exceptional property,850000,76,5,1,1,0
1255,house,115000,0,3,1,0,0
1257,house,175000,470,4,1,0,0
1258,house,750000,5287,4,1,1,0
1260,exceptional property,1750000,240,4,0,0,0
1262,house,495000,212,6,0,1,0
1263,house,295000,280,4,0,1,0
1266,apartment block,795000,566,0,0,0,0
1267,house,315000,157,2,0,0,0
1268,house,280000,150,3,0,1,0
1269,mansion,470000,1320,5,1,1,0
1270,house,329000,326,4,0,0,0
1271,house,235000,450,3,1,0,0
1272,house,200000,0,3,0,0,0
1274,apartment block,249000,189,3,0,0,0
1275,house,175000,279,3,0,0,0
1276,apartment block,1850000,530,16,0,0,0
1277,villa,585000,640,4,1,1,0
1278,house,219000,150,5,0,1,0
1279,farmhouse,1620000,10250,11,0,0,0
1280,exceptional property,325000,470,4,1,1,0
1282,house,289000,355,3,1,1,0
1283,mansion,2500000,308,5,1,1,0
1284,apartment block,260000,0,3,0,1,0
1285,house,849000,206,4,0,1,0
1286,house,105000,285,4,1,0,0
1287,apartment block,540000,120,0,0,1,0
1288,house,540000,1123,3,0,0,0
1290,house,239000,1514,2,0,1,0
1291,house,300000,1813,3,0,1,0
1292,villa,879000,2202,3,1,1,1
1294,house,375000,410,3,1,1,0
1295,exceptional property,1950000,3788,6,0,1,0
1296,exceptional property,1950000,3788,6,0,1,0
1297,house,599000,802,7,1,0,0
1298,farmhouse,435000,3634,4,1,1,0
1300,villa,499000,0,4,0,1,0
1301,house,279000,511,3,0,0,0
1303,house,565000,0,4,0,1,0
1304,house,232000,109,3,0,0,0
1305,exceptional property,495000,1322,4,0,1,0
1306,house,110000,50,2,0,0,0
1307,exceptional property,1095000,3240,5,0,1,0
1309,exceptional property,1095000,3240,5,0,1,0
1311,house,1145000,0,3,0,1,0
1312,house,497500,250,3,0,1,0
1314,villa,515000,480,3,1,1,0
1315,house,189000,0,3,0,1,0
1316,mixed use building,189000,0,3,0,1,0
1317,house,275000,730,3,1,0,0
1318,farmhouse,775000,5390,6,1,0,1
1319,villa,345000,646,4,0,1,0
1320,house,265000,600,3,1,1,0
1321,chalet,67500,345,2,0,0,0
1324,house,230000,2454,2,0,1,0
1325,villa,350000,2100,3,0,0,0
1326,house,259000,361,4,0,0,0
1327,house,325000,451,4,0,0,0
1328,house,75000,42,2,1,0,0
1329,house,89000,225,2,0,0,0
1330,house,315000,77,5,0,0,0
1332,house,379000,317,3,0,1,0
1333,house,435000,309,3,0,1,0
1334,house,320000,430,3,1,0,0
1335,house,147500,300,4,0,1,0
1336,house,299000,1275,2,0,1,0
1337,exceptional property,698000,1200,4,0,1,0
1338,house,249000,306,4,1,1,0
1339,house,2300000,0,3,0,0,0
1340,house,319000,625,3,0,0,0
1342,house,295000,131,2,0,1,0
1343,house,313000,3460,2,0,0,0
1344,exceptional property,850000,2550,3,1,1,0
1345,house,595000,147,3,0,0,0
1346,house,40000,491,1,1,0,0
1347,apartment block,260000,300,5,0,1,0
1349,house,230000,573,4,1,1,0
1350,apartment block,349000,0,1,0,0,0
1354,exceptional property,1595000,0,4,0,1,0
1357,apartment block,1595000,192,6,0,0,0
1358,house,414000,975,4,1,1,1
1360,house,318000,3347,3,0,0,0
1361,house,309000,0,3,0,1,0
1362,house,148000,0,2,0,0,0
1363,house,175000,550,3,0,0,0
1364,house,297500,630,3,0,0,0
1365,house,219000,0,3,0,1,0
1367,house,199000,1133,3,0,0,0
1368,house,299000,110,3,0,1,0
1369,mixed use building,698000,1140,1,1,1,0
1370,house,379000,470,6,0,0,0
1371,house,375000,0,4,1,1,0
1373,villa,595000,2316,3,0,1,0
1374,country cottage,549000,961,3,1,1,0
1375,country cottage,525000,961,3,1,1,0
1378,mansion,1495000,0,6,0,1,0
1379,house,398000,695,3,0,1,0
1385,house,278000,147,3,1,1,0
1386,house,434500,621,3,1,1,0
1387,villa,3900000,3300,6,0,1,1
1388,apartment block,230000,0,4,1,1,0
1390,house,255000,821,4,0,0,0
1391,house,529000,492,3,0,1,0
1393,house,449900,389,3,0,0,0
1395,house,99000,125,2,1,1,0
1396,apartment block,250000,82,8,0,0,0
1398,house,249000,105,3,0,1,0
1400,apartment block,1430000,460,9,1,1,0
1403,house,335000,660,4,1,1,0
1404,house,199500,125,2,1,1,0
1405,villa,350000,636,3,0,1,0
1406,house,335000,394,4,0,1,0
1407,apartment block,220000,153,3,0,0,0
1409,farmhouse,239000,621,2,0,0,0
1411,farmhouse,109000,1000,1,0,0,0
1413,house,379000,825,4,0,1,0
1415,house,445000,245,2,0,0,0
1416,house,415000,0,3,0,1,0
1417,house,225000,1040,3,1,1,0
1419,house,199000,88,2,0,0,0
1421,house,125000,100,4,1,0,0
1422,mixed use building,125000,0,1,0,1,0
1423,house,125000,0,1,0,1,0
1424,apartment block,140000,260,8,0,1,0
1425,house,275000,560,3,0,0,0
1426,house,239500,200,4,1,1,0
1427,house,289000,1470,2,1,0,0
1428,farmhouse,325000,1080,4,1,1,0
1430,farmhouse,395000,6168,4,0,0,0
1432,town house,135000,85,3,1,1,0
1433,house,330000,573,3,0,0,0
1436,bungalow,250000,918,2,0,0,0
1437,house,120000,225,3,1,1,0
1438,town house,250000,87,2,0,0,0
1439,house,249000,0,3,0,1,0
1440,house,199000,1060,3,0,0,0
1441,house,179000,738,3,0,1,0
1442,house,297500,213,3,0,1,0
1443,house,170000,220,3,1,1,0
1444,mixed use building,695000,427,4,0,0,0
1445,mixed use building,695000,427,4,0,0,0
1446,exceptional property,729000,2031,7,0,1,0
1447,house,150000,550,3,0,0,0
1449,villa,1295000,708,5,0,1,0
1450,house,329000,720,2,0,0,0
1452,house,450000,234,4,1,1,0
1453,exceptional property,880000,1900,4,1,1,0
1454,house,425000,500,3,0,1,0
1455,villa,750000,1650,6,0,0,0
1456,villa,550000,1774,4,0,0,0
1457,house,290000,137,2,0,1,0
1458,house,290000,140,2,0,1,0
1459,house,290000,126,3,0,1,0
1460,house,330346,150,3,0,1,0
1461,house,291968,150,3,0,1,0
1462,house,297348,161,3,0,0,0
1463,house,341493,150,4,0,0,0
1464,house,340347,150,3,0,0,0
1465,house,339325,150,3,0,0,0
1466,house,320039,150,3,0,0,0
1468,house,349296,150,3,0,0,0
1469,house,327440,172,3,0,0,0
1470,house,297348,172,3,0,0,0
1471,house,314576,161,3,0,0,0
1472,house,348217,150,4,0,0,0
1473,apartment block,845000,135,7,0,1,0
1474,house,429000,524,4,1,1,0
1475,house,199000,1002,2,1,1,0
1476,house,275000,0,8,1,1,0
1477,bungalow,359000,1530,3,1,1,0
1478,house,200000,140,3,0,1,0
1480,house,265000,58,0,0,0,0
1482,house,419000,200,3,0,1,0
1484,house,120000,760,2,1,1,0
1485,house,550000,505,3,0,1,0
1486,mixed use building,540000,42,2,0,1,0
1487,house,280000,1400,6,0,1,0
1489,apartment block,1050000,170,5,0,0,0
1490,house,175000,100,3,1,1,0
1492,house,499000,656,4,0,1,1
1493,mixed use building,225000,2724,0,0,0,0
1494,house,355000,161,3,1,1,0
1495,house,375000,442,4,0,0,0
1496,house,229000,0,4,0,0,0
1497,house,249000,70,3,0,0,0
1498,villa,325000,1158,4,0,0,0
1499,villa,445000,700,3,1,1,0
1500,villa,495000,1209,4,0,1,0
1501,house,1400000,100,4,0,0,0
1502,house,192500,370,4,1,1,0
1503,house,175000,630,2,0,0,0
1505,house,129000,0,2,0,1,0
1506,house,440000,301,5,0,1,0
1508,house,319000,222,3,1,1,0
1509,town house,1245000,110,5,0,1,0
1510,villa,945000,655,2,0,1,0
1511,apartment block,949000,0,9,0,0,0
1513,house,252000,0,1,0,0,0
1514,house,149000,669,5,0,1,0
1515,house,239000,1124,6,0,1,0
1516,house,309000,770,3,0,1,0
1517,house,569000,100,3,1,1,0
1518,house,189000,585,3,0,0,0
1519,house,140000,2550,3,0,1,0
1521,villa,598000,2493,4,0,1,0
1522,house,139000,120,4,0,0,0
1523,house,430000,798,3,0,1,1
1524,house,329000,0,3,0,1,0
1525,house,394000,415,3,0,1,0
1526,house,49000,78,2,1,0,0
1527,house,265000,1059,2,1,1,0
1529,house,345000,95,2,0,1,0
1531,house,450000,124,3,0,1,0
1533,house,189900,380,3,1,1,0
1534,mixed use building,285000,259,7,0,1,0
1535,house,145000,132,2,0,1,0
1536,house,294000,1303,3,1,1,0
1537,house,235000,227,2,0,1,0
1538,villa,775000,686,4,1,1,1
1539,house,461482,464,3,1,0,0
1540,house,238000,266,3,0,1,0
1541,house,228000,167,3,0,1,0
1542,exceptional property,640000,4718,3,1,1,0
1543,exceptional property,290000,2776,3,1,1,0
1544,farmhouse,360000,1942,1,0,1,0
1545,house,210000,860,4,0,1,0
1546,exceptional property,688000,900,3,1,1,0
1548,house,350000,137,3,0,0,0
1551,house,325000,372,3,0,0,0
1552,house,275000,531,3,0,0,0
1553,house,275000,537,3,0,0,0
1556,house,695000,1679,6,1,1,0
1557,house,355000,374,2,1,0,0
1558,house,245000,100,3,0,1,0
1559,exceptional property,4950000,5000,6,0,1,1
1560,exceptional property,1785000,0,20,0,1,1
1562,house,314800,460,3,1,0,0
1563,house,328000,148,3,0,1,0
1564,house,399000,351,4,0,1,0
1565,mixed use building,1750000,110,15,0,0,0
1567,country cottage,1299000,25607,4,0,0,0
1569,house,295000,730,4,0,0,0
1570,house,210000,130,3,0,0,0
1571,house,2250000,386,3,0,1,0
1572,apartment block,480000,220,9,0,1,0
1573,house,1895000,1680,4,0,1,1
1574,apartment block,975000,320,13,0,0,0
1576,house,136000,0,2,0,0,0
1578,villa,2400000,7700,5,1,1,1
1579,house,560000,8000,6,0,1,0
1580,house,335000,280,5,0,0,0
1582,house,110000,110,4,0,0,0
1583,house,169000,470,5,0,0,0
1584,house,229000,242,3,0,1,0
1586,house,69000,122,2,0,0,0
1587,mixed use building,139000,160,4,1,1,0
1588,house,129000,47,2,0,1,0
1589,house,159000,195,3,1,1,0
1591,house,195000,138,2,1,1,0
1593,house,169000,260,2,0,1,0
1594,house,149000,727,4,0,1,0
1596,house,399600,354,3,0,1,0
1597,house,335000,565,3,0,0,0
1598,house,329000,1028,4,0,1,0
1599,house,495000,1308,3,0,0,0
1602,house,238000,620,3,0,0,0
1605,house,390000,1000,4,0,1,0
1606,exceptional property,425000,304,2,0,0,0
1608,house,269000,792,3,0,1,0
1609,house,625000,1366,6,1,1,0
1611,exceptional property,598000,640,3,0,1,0
1612,house,645000,0,4,0,1,0
1613,house,300000,1128,3,0,0,0
1614,house,195000,190,2,0,1,0
1615,house,379000,90,4,1,0,0
1617,house,372600,0,3,0,1,0
1619,apartment block,545000,80,2,0,1,0
1622,exceptional property,590000,1788,6,0,0,0
1623,house,376800,0,3,0,1,0
1625,villa,270000,404,3,0,1,0
1626,house,280000,0,5,0,0,0
1627,house,292500,287,3,0,1,0
1628,house,287500,218,3,0,1,0
1631,villa,1100000,2310,5,0,1,0
1632,villa,988000,2056,6,0,0,1
1633,apartment block,1100000,0,8,0,0,0
1634,house,239000,147,3,0,1,0
1635,house,325000,60,3,0,0,0
1636,exceptional property,675000,676,4,1,1,0
1637,house,299000,80,5,1,1,0
1640,house,185000,45,3,0,0,0
1641,mansion,850000,0,4,0,1,0
1642,exceptional property,850000,0,4,0,1,0
1644,apartment block,675000,0,5,0,1,0
1647,house,299000,1656,3,0,1,0
1648,house,289000,254,3,0,0,0
1649,apartment block,480000,0,4,0,0,0
1651,house,179000,182,3,0,1,0
1653,house,290000,0,5,0,0,0
1654,mixed use building,450000,229,4,0,0,0
1655,house,450000,229,4,0,0,0
1656,villa,750000,2000,4,0,0,0
1657,house,392110,117,3,1,1,0
1658,house,199000,76,2,0,1,0
1660,house,460000,366,3,1,1,0
1661,house,95000,0,2,1,1,0
1663,house,259000,300,3,1,1,0
1665,house,175000,140,3,1,1,0
1666,house,139500,60,2,0,1,0
1667,house,175000,350,3,1,0,0
1668,house,585000,6253,4,0,1,0
1670,house,665000,1278,4,0,0,0
1671,house,299000,0,4,0,1,0
1672,house,995000,2800,5,0,0,0
1673,house,2350000,3368,6,0,1,0
1674,house,509500,171,3,0,1,0
1675,house,469000,168,4,0,1,0
1677,villa,1750000,32,5,0,1,0
1678,apartment block,599000,172,6,1,1,0
1679,house,269000,460,4,0,1,0
1681,house,665000,566,7,0,0,0
1682,house,120000,274,3,1,1,0
1683,house,695000,162,6,1,1,0
1684,house,295000,0,3,0,0,0
1685,villa,512000,1120,4,1,1,0
1686,villa,493000,1026,4,1,1,0
1687,villa,522000,1146,4,1,1,0
1688,exceptional property,1195000,235,5,0,1,0
1689,exceptional property,1195000,235,5,0,1,0
1690,house,75000,60,2,0,0,0
1691,house,358500,524,4,0,0,0
1692,house,295000,257,3,0,0,0
1693,house,400000,1660,5,0,1,0
1695,house,319000,311,3,0,1,0
1697,house,275000,593,4,0,0,0
1699,house,748000,3359,6,1,1,0
1701,house,415000,0,3,0,1,0
1702,house,259000,189,4,0,0,0
1703,house,287500,17800,3,0,1,0
1704,house,230000,80,2,0,1,0
1705,house,269000,560,4,1,1,0
1706,apartment block,200000,173,3,0,1,0
1707,exceptional property,1820000,350,4,1,1,0
1708,house,225000,2724,1,0,0,0
1710,house,219000,570,3,0,0,0
1711,villa,722000,2791,4,1,1,0
1712,house,420000,1500,4,0,1,1
1713,house,358500,534,4,0,0,0
1714,bungalow,259000,1195,3,0,1,0
1715,house,219000,210,3,1,1,0
1716,mansion,785000,476,8,0,1,0
1717,house,398000,439,1,0,0,0
1718,house,370000,1250,3,0,0,0
1720,house,285000,2089,2,0,0,0
1721,house,298000,171,3,0,1,0
1722,house,312000,200,3,0,1,0
1723,house,275000,0,2,0,1,0
1724,house,900000,2396,9,1,1,0
1725,farmhouse,175000,581,5,1,1,0
1726,country cottage,390000,5522,4,1,1,0
1727,house,75000,590,3,1,0,0
1729,house,259000,254,3,1,1,0
1730,house,325000,176,5,0,1,0
1732,house,441132,512,4,0,1,0
1733,villa,1600000,9041,4,0,0,1
1734,house,1370000,182,5,0,0,0
1735,house,325000,531,4,0,1,0
1736,house,349000,955,7,1,1,0
1738,apartment block,349000,955,7,1,1,0
1740,house,298000,131,3,0,1,0
1742,house,150000,275,4,0,0,0
1744,house,230000,231,7,0,1,0
1745,house,199000,390,3,1,0,0
1746,house,420000,1200,4,1,1,0
1747,house,80000,281,4,0,1,0
1748,house,240000,478,6,0,0,0
1749,apartment block,750000,0,8,0,1,0
1750,house,565000,140,5,0,0,0
1751,house,95000,137,2,0,1,0
1752,house,495000,326,3,0,1,0
1753,house,109000,230,4,0,0,0
1754,apartment block,174000,252,4,0,1,0
1755,apartment block,495000,80,0,0,0,0
1757,apartment block,249000,140,5,0,1,0
1759,house,249000,140,5,0,1,0
1761,house,145000,193,3,0,1,0
1762,house,270000,357,3,1,1,0
1764,house,2900000,0,6,0,1,0
1765,bungalow,249000,1083,3,0,1,0
1766,apartment block,160000,169,4,0,0,0
1768,house,140000,262,3,0,1,0
1769,country cottage,60000,850,4,1,1,0
1770,house,319000,331,3,1,0,0
1771,house,245000,110,1,0,1,0
1772,apartment block,290000,0,4,0,0,0
1773,mixed use building,365000,150,3,0,1,0
1774,house,399000,788,3,0,1,0
1775,house,375000,425,3,0,0,0
1776,apartment block,295000,0,2,0,0,0
1778,house,295000,0,2,0,0,0
1780,house,215000,340,3,0,0,0
1781,house,229000,208,3,0,0,0
1782,apartment block,150000,0,4,0,0,0
1783,villa,595000,1368,4,0,1,0
1784,house,695000,133,3,0,1,0
1786,house,285000,794,3,0,0,0
1788,house,275000,0,3,0,1,0
1792,house,408000,1510,3,0,0,0
1794,house,225000,186,2,0,1,0
1795,house,350000,555,3,1,1,0
1796,exceptional property,519900,812,5,1,0,0
1798,house,325000,1035,3,1,1,0
1799,house,235000,55,3,0,0,0
1800,villa,350000,470,3,0,1,0
1801,villa,699000,1138,6,1,1,0
1802,chalet,250000,1743,5,0,1,0
1803,house,279000,150,3,1,1,0
1804,villa,725000,770,4,1,0,0
1805,house,360000,312,4,1,1,0
1806,house,299000,470,4,0,0,0
1807,house,130000,240,4,1,1,0
1808,mixed use building,90000,130,2,0,0,0
1809,house,145000,0,3,0,1,0
1811,house,139900,180,2,1,1,0
1812,house,285000,80,3,1,0,0
1813,house,109000,100,3,1,1,0
1814,farmhouse,390000,12750,3,0,0,0
1816,house,369000,125,4,1,1,0
1818,house,1585000,39,4,1,1,1
1819,house,345000,840,3,0,0,0
1821,house,275000,664,3,1,1,0
1822,house,225000,390,4,0,0,0
1823,country cottage,1199000,8470,4,0,0,0
1824,house,359000,725,4,0,0,0
1825,villa,215000,550,4,1,0,0
1826,house,789000,79,2,0,0,0
1827,house,160000,112,2,0,0,0
1828,house,150000,680,3,0,1,0
1829,apartment block,295000,1750,25,0,0,0
1830,bungalow,45000,159,2,0,1,1
1831,house,349000,800,3,0,0,0
1832,villa,350000,1444,3,1,0,0
1833,house,249500,457,3,0,0,0
1834,house,195000,0,3,0,1,0
1835,mansion,1499000,10899,7,0,0,0
1836,other property,1499000,10899,7,0,0,0
1837,exceptional property,1150000,451,1,0,0,0
1838,house,329000,120,4,0,1,0
1839,house,170000,180,2,1,0,0
1841,villa,549000,950,5,1,1,0
1842,house,450000,2600,3,1,1,0
1844,house,595000,184,3,0,1,0
1845,bungalow,445000,1014,3,0,1,0
1846,house,199000,83,4,0,0,0
1847,mansion,269000,233,3,1,1,0
1848,house,358000,755,3,1,1,0
1849,house,185000,1500,4,1,1,0
1851,house,25000,345,3,0,1,0
1852,apartment block,675000,190,15,0,0,0
1853,exceptional property,3750000,6585,5,0,0,0
1854,house,700000,229,6,0,0,0
1855,house,439000,407,3,0,0,0
1856,house,870000,528,2,0,1,0
1857,house,595000,608,4,0,0,0
1858,house,492000,1019,3,0,0,0
1860,house,380000,829,4,1,1,1
1861,house,2650000,2533,4,0,1,1
1862,exceptional property,1950000,5956,5,0,0,0
1863,apartment block,590000,0,7,0,1,0
1864,house,299000,0,5,0,0,0
1865,villa,550000,1980,3,0,1,1
1866,house,299000,336,3,0,1,0
1867,villa,850000,2056,4,1,1,0
1868,house,399000,124,4,0,1,0
1870,house,249000,115,2,1,1,0
1871,apartment block,800000,4188,4,0,1,0
1873,house,299000,637,6,1,1,0
1874,house,420000,360,6,0,0,0
1876,house,209000,213,4,0,0,0
1878,house,89000,455,2,0,1,0
1879,house,230000,642,3,1,1,0
1880,house,250000,330,3,0,0,0
1882,house,495000,200,4,1,0,0
1883,mixed use building,849000,615,9,1,1,0
1884,apartment block,299000,83,6,0,0,0
1885,apartment block,2800000,389,36,0,1,0
1887,house,150000,1178,4,0,0,0
1888,house,199500,100,2,0,1,0
1889,house,359000,955,4,1,1,0
1890,house,260000,469,2,1,0,0
1891,house,319000,0,3,0,0,0
1894,house,299000,564,4,0,0,0
1895,exceptional property,600000,2227,4,0,1,0
1896,house,325000,932,4,1,0,0
1898,country cottage,245000,818,6,0,0,0
1900,house,159000,296,3,1,1,0
1901,house,275000,0,2,0,1,0
1902,house,695000,3249,3,0,0,0
1903,house,139000,200,4,0,1,0
1904,house,400000,2940,5,0,1,0
1905,house,325000,679,3,0,1,0
1906,house,285000,1667,3,0,0,0
1907,house,735000,0,5,0,1,0
1908,house,169000,427,3,1,1,0
1909,villa,595000,2091,4,0,1,0
1910,house,164900,175,4,1,1,0
1913,house,259900,860,3,0,1,0
1915,apartment block,385000,0,7,0,1,0
1916,house,199000,74,2,0,1,0
1918,house,150000,200,6,1,1,0
1920,house,330000,364,3,0,0,0
1921,apartment block,409000,210,4,0,1,0
1922,house,199500,100,4,1,1,0
1923,house,259000,195,2,0,0,0
1924,house,475000,572,5,0,1,0
1926,apartment block,475000,572,4,0,1,0
1928,house,249000,150,3,0,1,0
1929,house,275000,495,3,0,1,0
1930,mixed use building,285000,86,3,0,0,0
1931,house,200000,946,2,0,0,0
1932,house,749000,13342,3,1,1,1
1933,house,268000,366,4,1,1,0
1934,house,349000,3550,4,0,1,0
1935,house,289000,1109,5,1,0,0
1936,house,247000,440,3,0,1,0
1938,castle,5500000,206200,14,0,1,0
1939,mixed use building,795000,672,6,0,1,0
1940,house,1145000,86,5,0,0,0
1941,house,85000,160,2,0,1,0
1943,house,265000,46,3,0,0,0
1947,house,485000,250,4,1,0,0
1948,house,395000,1479,2,0,0,0
1949,apartment block,635000,0,5,1,0,0
1951,house,80000,50,3,1,0,0
1952,house,215000,240,3,1,1,0
1954,farmhouse,350000,300,4,0,1,0
1955,apartment block,475000,748,8,0,1,0
1956,house,489000,180,4,1,1,0
1957,mixed use building,700000,509,0,0,1,0
1958,house,215000,334,4,0,1,0
1959,house,149000,334,4,0,1,0
1963,town house,550000,197,4,0,0,0
1964,house,399000,864,3,0,1,0
1965,farmhouse,480000,19522,4,0,0,0
1966,exceptional property,480000,19522,4,0,0,0
1967,house,392000,136,2,0,1,0
1968,house,179000,187,2,1,1,0
1970,villa,645000,1328,4,0,0,0
