,House_Type,Price,Serface,No. of Bed-Room,AtticExists,TerraceExists,SwimmingPoolExists
206,house,374900.0,312.0,3.0,1,0,0
207,house,365700.0,500.0,3.0,0,0,0
208,house,349300.0,450.0,3.0,1,0,0
211,house,548000.0,1130.0,3.0,0,0,0
212,house,150000.0,164.0,3.0,0,1,0
213,house,119000.0,150.0,3.0,0,0,0
215,house,189900.0,450.0,3.0,0,0,0
217,house,249000.0,59.0,3.0,0,0,0
218,house,199900.0,90.0,4.0,0,0,0
219,house,280000.0,65.0,4.0,0,0,0
220,house,391000.0,872.0,3.0,0,0,0
221,house,285000.0,833.0,4.0,1,0,0
222,mixed use building,490000.0,3694.0,3.0,0,1,0
223,house,157000.0,0.0,3.0,0,1,0
225,villa,495000.0,0.0,3.0,0,1,0
226,house,525000.0,200.0,4.0,0,0,0
229,exceptional property,2300000.0,200.0,3.0,1,0,0
230,exceptional property,3850000.0,11405.0,6.0,1,1,0
231,house,75000.0,421.0,2.0,1,0,0
233,house,251600.0,210.0,3.0,0,1,0
234,house,217500.0,126.0,3.0,0,1,0
235,mixed use building,780000.0,400.0,5.0,1,1,0
236,house,139000.0,0.0,3.0,1,1,0
237,house,320000.0,242.0,5.0,1,1,0
239,house,650000.0,1633.0,5.0,0,0,0
241,house,450000.0,1595.0,3.0,0,0,0
242,apartment block,299000.0,779.0,7.0,0,0,0
243,house,150000.0,326.0,1.0,0,0,0
244,apartment block,2100000.0,0.0,4.0,0,1,0
246,villa,1380000.0,1461.0,6.0,0,1,0
247,apartment block,669000.0,223.0,0.0,0,0,0
248,house,85000.0,295.0,2.0,0,1,0
250,house,412000.0,160.0,3.0,0,0,0
252,farmhouse,750000.0,6000.0,6.0,1,1,0
253,house,895000.0,950.0,3.0,0,0,0
256,house,4950000.0,4895.0,7.0,1,1,1
259,exceptional property,4950000.0,20066.0,6.0,1,1,1
260,exceptional property,590000.0,0.0,6.0,0,1,0
262,apartment block,990000.0,0.0,0.0,0,0,0
263,house,149000.0,105.0,3.0,0,1,0
264,villa,210000.0,1687.0,4.0,1,0,0
265,house,215000.0,234.0,2.0,0,1,0
266,apartment block,699000.0,160.0,7.0,0,0,0
268,apartment block,470000.0,103.0,5.0,0,1,0
269,house,250000.0,180.0,4.0,0,0,0
270,house,325000.0,138.0,3.0,0,1,0
272,villa,325000.0,1000.0,5.0,1,1,0
273,villa,999000.0,1860.0,4.0,0,0,0
274,castle,2480000.0,95000.0,10.0,1,1,0
276,apartment block,795000.0,162.0,8.0,0,1,0
279,house,259000.0,50.0,4.0,1,0,0
282,house,329950.0,139.0,3.0,0,0,0
285,apartment block,289000.0,144.0,5.0,0,1,0
286,apartment block,685000.0,0.0,4.0,0,0,0
288,house,685000.0,0.0,4.0,0,0,0
289,mansion,685000.0,0.0,4.0,0,0,0
290,house,72200.0,120.0,2.0,0,0,0
